symbol,shares,pricePosition,priceTrading,totalBasis,sharesBought,priceBought,sharesSold,priceSold,dividends,sharesDividend
CTRE,0.0,$0.00,$0.00,$432.74,200.0,$-19.12,-200.0,$-21.00,$56.00,0.0
CUBE,0.0,$0.00,$0.00,$-900.35,263.0,$-47.33,-263.0,$-43.43,$322.50,0.0
CVNA,0.0,$0.00,$0.00,$671.84,200.0,$-48.16,-200.0,$-47.50,$0.00,0.0
CVS,0.0,$0.00,$0.00,$2138.19,500.0,$-72.04,-500.0,$-75.47,$423.50,0.0
DAL,0.0,$0.00,$0.00,$341.61,575.0,$-44.02,-575.0,$-44.24,$0.00,0.0
DE,0.0,$0.00,$0.00,$438.06,10.0,$-373.69,-10.0,$-417.50,$0.00,0.0
DEI,0.0,$0.00,$0.00,$30.98,100.0,$-12.50,-100.0,$-12.81,$0.00,0.0
DFP,0.0,$0.00,$0.00,$218.55,500.0,$-17.86,-500.0,$-17.96,$166.13,0.0
DGRO,0.0,$0.00,$0.00,$238.92,100.0,$-50.78,-100.0,$-52.91,$25.97,0.0
DIA,0.0,$0.00,$0.00,$0.38,1.0,$-334.35,-1.0,$-334.73,$0.00,0.0
DIS,0.0,$0.00,$0.00,$96.37,25.0,$-96.00,-25.0,$-99.85,$0.00,0.0
DIVO,0.0,$0.00,$0.00,$499.58,450.0,$-35.79,-450.0,$-36.46,$199.72,0.0
DJIA,0.0,$0.00,$0.00,$44.80,150.0,$-21.56,-150.0,$-21.80,$9.33,0.0
DKNG,0.0,$0.00,$0.00,$3344.16,2100.0,$-42.18,-2100.0,$-43.23,$0.00,0.0
DLR,0.0,$0.00,$0.00,$438.45,60.0,$-90.49,-60.0,$-97.80,$0.00,0.0
DLY,0.0,$0.00,$0.00,$64.56,125.0,$-14.08,-125.0,$-14.48,$14.59,0.0
DOCN,0.0,$0.00,$0.00,$16.26,262.0,$-34.74,-262.0,$-34.80,$0.00,0.0
DOW,0.0,$0.00,$0.00,$448.13,250.0,$-52.71,-250.0,$-54.96,$140.00,0.0
DSU,0.0,$0.00,$0.00,$3615.40,2680.0,$-10.10,-2680.0,$-10.94,$1385.86,0.0
DSXWS,0.0,$0.00,$0.00,$121.21,0.0,$0.00,-417.0,$-0.29,$0.28,417.0
DVN,0.0,$0.00,$0.00,$191.40,225.0,$-52.24,-225.0,$-53.09,$0.00,0.0
DX,0.0,$0.00,$0.00,$204.89,1000.0,$-12.20,-1000.0,$-12.37,$32.50,0.0
DXJ,0.0,$0.00,$0.00,$100.42,71.0,$-82.83,-71.0,$-84.25,$0.00,0.0
ECC,0.0,$0.00,$0.00,$312.84,975.0,$-10.43,-975.0,$-10.46,$279.20,0.0
EDIV,0.0,$0.00,$0.00,$67.15,110.0,$-31.72,-110.0,$-32.33,$0.00,0.0
EFA,0.0,$0.00,$0.00,$122.98,100.0,$-72.52,-100.0,$-73.75,$0.00,0.0
EGP,0.0,$0.00,$0.00,$-2.63,1.0,$-165.23,-1.0,$-162.60,$0.00,0.0
EMR,0.0,$0.00,$0.00,$-14.85,3.1,$-96.19,-3.1,$-91.42,$0.00,0.0
ENB,0.0,$0.00,$0.00,$948.44,1175.0,$-35.07,-1175.0,$-35.22,$0.00,0.0
EOS,0.0,$0.00,$0.00,$349.21,350.0,$-16.77,-350.0,$-17.27,$172.80,0.0
EPD,0.0,$0.00,$0.00,$430.85,511.0,$-26.47,-511.0,$-26.99,$134.75,0.0
EPM,0.0,$0.00,$0.00,$3059.08,1500.0,$-7.73,-1500.0,$-9.68,$120.00,0.0
EPRT,0.0,$0.00,$0.00,$5606.12,2213.0,$-24.18,-2213.0,$-24.96,$1171.00,0.0
EQNR,0.0,$0.00,$0.00,$-1.76,3.0,$-29.25,-3.0,$-28.00,$2.00,0.0
EQT,-0.0,$0.00,$0.00,$-8.80,11.5,$-43.34,-11.5,$-42.58,$0.00,0.0
ESEA,0.0,$0.00,$0.00,$103.45,200.0,$-26.44,-200.0,$-26.58,$75.00,0.0
ESRT,0.0,$0.00,$0.00,$-195.88,363.0,$-6.33,-363.0,$-5.80,$0.00,0.0
ET,0.0,$0.00,$0.00,$1469.66,3000.0,$-12.76,-3000.0,$-13.14,$307.50,0.0
ETD,0.0,$0.00,$0.00,$1400.46,225.0,$-28.82,-225.0,$-34.86,$40.32,0.0
EURN,0.0,$0.00,$0.00,$2.78,17.1,$-17.82,-17.1,$-17.98,$0.00,0.0
EVT,0.0,$0.00,$0.00,$461.34,500.0,$-22.95,-500.0,$-23.49,$193.44,0.0
EXAS,0.0,$0.00,$0.00,$1102.91,500.0,$-61.71,-500.0,$-71.15,$0.00,0.0
EXG,0.0,$0.00,$0.00,$484.57,1020.0,$-7.92,-1020.0,$-7.96,$449.04,0.0
EXPE,0.0,$0.00,$0.00,$-1910.78,100.0,$-154.23,-100.0,$-133.52,$0.00,0.0
